w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,player_rank,player_bcr
1,3,7,10,24,-0.666666667
4,5,9,11,68,-0.2
3,5,9,11,3,-0.4
6,7,3,8,7,-0.142857143
4,8,2,5,313,-0.5
11,14,4,10,50,-0.214285714
7,10,7,12,35,-0.3
3,5,0,4,55,-0.4
2,3,6,11,10,-0.333333333
6,10,6,12,54,-0.4
8,10,5,9,18,-0.2
4,5,7,11,8,-0.2
7,12,7,13,68,-0.416666667
4,6,7,12,7,-0.333333333
5,9,8,13,50,-0.444444444
0,5,10,16,10,-1
1,2,4,7,54,-0.5
2,6,5,11,8,-0.666666667
4,5,3,6,7,-0.2
3,3,1,5,10,0
4,5,3,8,7,-0.2
1,1,1,5,7,0
9,11,3,8,1,-0.181818182
5,5,4,6,53,0
0,5,12,19,140,-1
3,4,4,7,112,-0.25
1,1,2,7,21,0
7,14,8,16,47,-0.5
2,3,2,6,64,-0.333333333
2,3,3,7,12,-0.333333333
8,12,5,10,13,-0.333333333
8,13,6,14,39,-0.384615385
0,4,7,11,82,-1
4,7,5,10,23,-0.428571429
3,6,7,10,30,-0.5
2,2,4,6,125,0
6,9,2,7,45,-0.333333333
0,0,1,4,7,#DIV/0!
7,12,6,13,4,-0.416666667
4,5,7,10,116,-0.2
5,7,2,7,106,-0.285714286
2,8,1,8,100,-0.75
5,8,3,6,19,-0.375
8,10,1,4,35,-0.2
2,5,4,9,110,-0.6
4,5,4,8,15,-0.2
3,4,1,4,127,-0.25
2,2,6,9,141,0
8,13,4,10,77,-0.384615385
7,12,10,17,36,-0.416666667
0,0,4,8,26,#DIV/0!
1,1,4,7,86,0
6,9,8,13,88,-0.333333333
2,3,8,12,6,-0.333333333
4,7,5,12,5,-0.428571429
4,4,2,7,52,0
4,6,2,7,71,-0.333333333
8,11,5,9,32,-0.272727273
3,3,4,6,20,0
4,8,3,8,90,-0.5
3,7,6,13,122,-0.571428571
2,3,5,10,9,-0.333333333
3,5,7,13,16,-0.4
1,6,1,7,61,-0.833333333
3,4,2,7,43,-0.25
